 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5736468802E+01    0.7654760892E+01
    0.1584612949E-03    0.5736468698E+01    0.7654760786E+01
    0.1665857792E-03    0.5736468486E+01    0.7654760570E+01
    0.1751268148E-03    0.5736468157E+01    0.7654760235E+01
    0.1841057586E-03    0.5736467705E+01    0.7654759774E+01
    0.1935450626E-03    0.5736467120E+01    0.7654759179E+01
    0.2034683302E-03    0.5736466394E+01    0.7654758440E+01
    0.2139003746E-03    0.5736465515E+01    0.7654757544E+01
    0.2248672813E-03    0.5736464471E+01    0.7654756481E+01
    0.2363964733E-03    0.5736463248E+01    0.7654755236E+01
    0.2485167797E-03    0.5736461831E+01    0.7654753793E+01
    0.2612585075E-03    0.5736460203E+01    0.7654752135E+01
    0.2746535176E-03    0.5736458344E+01    0.7654750242E+01
    0.2887353046E-03    0.5736456234E+01    0.7654748093E+01
    0.3035390802E-03    0.5736453849E+01    0.7654745664E+01
    0.3191018616E-03    0.5736451162E+01    0.7654742928E+01
    0.3354625639E-03    0.5736448146E+01    0.7654739855E+01
    0.3526620974E-03    0.5736444766E+01    0.7654736414E+01
    0.3707434697E-03    0.5736440989E+01    0.7654732567E+01
    0.3897518939E-03    0.5736436774E+01    0.7654728274E+01
    0.4097349008E-03    0.5736432077E+01    0.7654723491E+01
    0.4307424584E-03    0.5736426851E+01    0.7654718168E+01
    0.4528270965E-03    0.5736421041E+01    0.7654712251E+01
    0.4760440382E-03    0.5736414588E+01    0.7654705680E+01
    0.5004513380E-03    0.5736407428E+01    0.7654698388E+01
    0.5261100268E-03    0.5736399487E+01    0.7654690301E+01
    0.5530842647E-03    0.5736390686E+01    0.7654681337E+01
    0.5814415013E-03    0.5736380935E+01    0.7654671407E+01
    0.6112526445E-03    0.5736370138E+01    0.7654660412E+01
    0.6425922378E-03    0.5736358187E+01    0.7654648240E+01
    0.6755386463E-03    0.5736344962E+01    0.7654634771E+01
    0.7101742534E-03    0.5736330331E+01    0.7654619871E+01
    0.7465856660E-03    0.5736314149E+01    0.7654603391E+01
    0.7848639316E-03    0.5736296255E+01    0.7654585168E+01
    0.8251047659E-03    0.5736276472E+01    0.7654565021E+01
    0.8674087919E-03    0.5736254605E+01    0.7654542750E+01
    0.9118817916E-03    0.5736230436E+01    0.7654518137E+01
    0.9586349708E-03    0.5736203728E+01    0.7654490937E+01
    0.1007785237E-02    0.5736174216E+01    0.7654460882E+01
    0.1059455491E-02    0.5736141611E+01    0.7654427676E+01
    0.1113774935E-02    0.5736105590E+01    0.7654390992E+01
    0.1170879397E-02    0.5736065801E+01    0.7654350470E+01
    0.1230911668E-02    0.5736021852E+01    0.7654305712E+01
    0.1294021859E-02    0.5735973313E+01    0.7654256278E+01
    0.1360367778E-02    0.5735919707E+01    0.7654201685E+01
    0.1430115326E-02    0.5735860510E+01    0.7654141399E+01
    0.1503438906E-02    0.5735795144E+01    0.7654074829E+01
    0.1580521867E-02    0.5735722970E+01    0.7654001326E+01
    0.1661556956E-02    0.5735643284E+01    0.7653920173E+01
    0.1746746803E-02    0.5735555312E+01    0.7653830581E+01
    0.1836304427E-02    0.5735458196E+01    0.7653731677E+01
    0.1930453768E-02    0.5735350994E+01    0.7653622501E+01
    0.2029430249E-02    0.5735232667E+01    0.7653501995E+01
    0.2133481363E-02    0.5735102068E+01    0.7653368991E+01
    0.2242867292E-02    0.5734957936E+01    0.7653222205E+01
    0.2357861557E-02    0.5734798879E+01    0.7653060219E+01
    0.2478751704E-02    0.5734623364E+01    0.7652881473E+01
    0.2605840021E-02    0.5734429705E+01    0.7652684248E+01
    0.2739444296E-02    0.5734216042E+01    0.7652466651E+01
