 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5755641944E+01    0.7654760892E+01
    0.1584612949E-03    0.5755641840E+01    0.7654760786E+01
    0.1665857792E-03    0.5755641627E+01    0.7654760570E+01
    0.1751268148E-03    0.5755641299E+01    0.7654760235E+01
    0.1841057586E-03    0.5755640846E+01    0.7654759774E+01
    0.1935450626E-03    0.5755640261E+01    0.7654759179E+01
    0.2034683302E-03    0.5755639535E+01    0.7654758440E+01
    0.2139003746E-03    0.5755638655E+01    0.7654757544E+01
    0.2248672813E-03    0.5755637611E+01    0.7654756481E+01
    0.2363964733E-03    0.5755636387E+01    0.7654755236E+01
    0.2485167797E-03    0.5755634969E+01    0.7654753793E+01
    0.2612585075E-03    0.5755633340E+01    0.7654752135E+01
    0.2746535176E-03    0.5755631480E+01    0.7654750242E+01
    0.2887353046E-03    0.5755629369E+01    0.7654748093E+01
    0.3035390802E-03    0.5755626982E+01    0.7654745664E+01
    0.3191018616E-03    0.5755624294E+01    0.7654742928E+01
    0.3354625639E-03    0.5755621275E+01    0.7654739855E+01
    0.3526620974E-03    0.5755617894E+01    0.7654736414E+01
    0.3707434697E-03    0.5755614114E+01    0.7654732567E+01
    0.3897518939E-03    0.5755609896E+01    0.7654728274E+01
    0.4097349008E-03    0.5755605197E+01    0.7654723491E+01
    0.4307424584E-03    0.5755599968E+01    0.7654718168E+01
    0.4528270965E-03    0.5755594154E+01    0.7654712251E+01
    0.4760440382E-03    0.5755587698E+01    0.7654705680E+01
    0.5004513380E-03    0.5755580533E+01    0.7654698388E+01
    0.5261100268E-03    0.5755572588E+01    0.7654690301E+01
    0.5530842647E-03    0.5755563781E+01    0.7654681337E+01
    0.5814415013E-03    0.5755554025E+01    0.7654671407E+01
    0.6112526445E-03    0.5755543221E+01    0.7654660412E+01
    0.6425922378E-03    0.5755531263E+01    0.7654648240E+01
    0.6755386463E-03    0.5755518029E+01    0.7654634771E+01
    0.7101742534E-03    0.5755503390E+01    0.7654619871E+01
    0.7465856660E-03    0.5755487198E+01    0.7654603391E+01
    0.7848639316E-03    0.5755469294E+01    0.7654585168E+01
    0.8251047659E-03    0.5755449499E+01    0.7654565021E+01
    0.8674087919E-03    0.5755427618E+01    0.7654542750E+01
    0.9118817916E-03    0.5755403435E+01    0.7654518137E+01
    0.9586349708E-03    0.5755376711E+01    0.7654490937E+01
    0.1007785237E-02    0.5755347182E+01    0.7654460882E+01
    0.1059455491E-02    0.5755314557E+01    0.7654427676E+01
    0.1113774935E-02    0.5755278515E+01    0.7654390992E+01
    0.1170879397E-02    0.5755238701E+01    0.7654350470E+01
    0.1230911668E-02    0.5755194726E+01    0.7654305712E+01
    0.1294021859E-02    0.5755146157E+01    0.7654256278E+01
    0.1360367778E-02    0.5755092519E+01    0.7654201685E+01
    0.1430115326E-02    0.5755033287E+01    0.7654141399E+01
    0.1503438906E-02    0.5754967882E+01    0.7654074829E+01
    0.1580521867E-02    0.5754895665E+01    0.7654001326E+01
