 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5729191784E+01    0.7654760892E+01
    0.1584612949E-03    0.5729191680E+01    0.7654760786E+01
    0.1665857792E-03    0.5729191467E+01    0.7654760570E+01
    0.1751268148E-03    0.5729191139E+01    0.7654760235E+01
    0.1841057586E-03    0.5729190687E+01    0.7654759774E+01
    0.1935450626E-03    0.5729190102E+01    0.7654759179E+01
    0.2034683302E-03    0.5729189376E+01    0.7654758440E+01
    0.2139003746E-03    0.5729188497E+01    0.7654757544E+01
    0.2248672813E-03    0.5729187454E+01    0.7654756481E+01
    0.2363964733E-03    0.5729186231E+01    0.7654755236E+01
    0.2485167797E-03    0.5729184814E+01    0.7654753793E+01
    0.2612585075E-03    0.5729183186E+01    0.7654752135E+01
    0.2746535176E-03    0.5729181328E+01    0.7654750242E+01
    0.2887353046E-03    0.5729179218E+01    0.7654748093E+01
    0.3035390802E-03    0.5729176833E+01    0.7654745664E+01
    0.3191018616E-03    0.5729174147E+01    0.7654742928E+01
    0.3354625639E-03    0.5729171131E+01    0.7654739855E+01
    0.3526620974E-03    0.5729167752E+01    0.7654736414E+01
    0.3707434697E-03    0.5729163975E+01    0.7654732567E+01
    0.3897518939E-03    0.5729159761E+01    0.7654728274E+01
    0.4097349008E-03    0.5729155065E+01    0.7654723491E+01
    0.4307424584E-03    0.5729149839E+01    0.7654718168E+01
    0.4528270965E-03    0.5729144030E+01    0.7654712251E+01
    0.4760440382E-03    0.5729137579E+01    0.7654705680E+01
    0.5004513380E-03    0.5729130420E+01    0.7654698388E+01
    0.5261100268E-03    0.5729122480E+01    0.7654690301E+01
    0.5530842647E-03    0.5729113680E+01    0.7654681337E+01
    0.5814415013E-03    0.5729103932E+01    0.7654671407E+01
    0.6112526445E-03    0.5729093137E+01    0.7654660412E+01
    0.6425922378E-03    0.5729081187E+01    0.7654648240E+01
    0.6755386463E-03    0.5729067964E+01    0.7654634771E+01
    0.7101742534E-03    0.5729053335E+01    0.7654619871E+01
    0.7465856660E-03    0.5729037156E+01    0.7654603391E+01
    0.7848639316E-03    0.5729019265E+01    0.7654585168E+01
    0.8251047659E-03    0.5728999486E+01    0.7654565021E+01
    0.8674087919E-03    0.5728977622E+01    0.7654542750E+01
    0.9118817916E-03    0.5728953457E+01    0.7654518137E+01
    0.9586349708E-03    0.5728926753E+01    0.7654490937E+01
    0.1007785237E-02    0.5728897247E+01    0.7654460882E+01
    0.1059455491E-02    0.5728864647E+01    0.7654427676E+01
    0.1113774935E-02    0.5728828632E+01    0.7654390992E+01
    0.1170879397E-02    0.5728788850E+01    0.7654350470E+01
    0.1230911668E-02    0.5728744908E+01    0.7654305712E+01
    0.1294021859E-02    0.5728696376E+01    0.7654256278E+01
    0.1360367778E-02    0.5728642779E+01    0.7654201685E+01
    0.1430115326E-02    0.5728583592E+01    0.7654141399E+01
    0.1503438906E-02    0.5728518237E+01    0.7654074829E+01
    0.1580521867E-02    0.5728446075E+01    0.7654001326E+01
    0.1661556956E-02    0.5728366403E+01    0.7653920173E+01
    0.1746746803E-02    0.5728278445E+01    0.7653830581E+01
    0.1836304427E-02    0.5728181345E+01    0.7653731677E+01
    0.1930453768E-02    0.5728074161E+01    0.7653622501E+01
    0.2029430249E-02    0.5727955853E+01    0.7653501995E+01
    0.2133481363E-02    0.5727825276E+01    0.7653368991E+01
    0.2242867292E-02    0.5727681168E+01    0.7653222205E+01
    0.2357861557E-02    0.5727522137E+01    0.7653060219E+01
    0.2478751704E-02    0.5727346652E+01    0.7652881473E+01
    0.2605840021E-02    0.5727153024E+01    0.7652684248E+01
    0.2739444296E-02    0.5726939397E+01    0.7652466651E+01
    0.2879898609E-02    0.5726703723E+01    0.7652226597E+01
    0.3027554168E-02    0.5726443749E+01    0.7651961793E+01
    0.3182780189E-02    0.5726156997E+01    0.7651669713E+01
    0.3345964819E-02    0.5725840739E+01    0.7651347578E+01
    0.3517516104E-02    0.5725491971E+01    0.7650992330E+01
    0.3697863011E-02    0.5725107394E+01    0.7650600607E+01
    0.3887456502E-02    0.5724683376E+01    0.7650168710E+01
    0.4086770659E-02    0.5724215926E+01    0.7649692575E+01
    0.4296303871E-02    0.5723700656E+01    0.7649167731E+01
    0.4516580081E-02    0.5723132746E+01    0.7648589269E+01
    0.4748150094E-02    0.5722506901E+01    0.7647951796E+01
