 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5726867189E+01    0.7654760892E+01
    0.1584612949E-03    0.5726867086E+01    0.7654760786E+01
    0.1665857792E-03    0.5726866873E+01    0.7654760570E+01
    0.1751268148E-03    0.5726866544E+01    0.7654760235E+01
    0.1841057586E-03    0.5726866092E+01    0.7654759774E+01
    0.1935450626E-03    0.5726865508E+01    0.7654759179E+01
    0.2034683302E-03    0.5726864782E+01    0.7654758440E+01
    0.2139003746E-03    0.5726863903E+01    0.7654757544E+01
    0.2248672813E-03    0.5726862859E+01    0.7654756481E+01
    0.2363964733E-03    0.5726861637E+01    0.7654755236E+01
    0.2485167797E-03    0.5726860220E+01    0.7654753793E+01
    0.2612585075E-03    0.5726858592E+01    0.7654752135E+01
    0.2746535176E-03    0.5726856734E+01    0.7654750242E+01
    0.2887353046E-03    0.5726854624E+01    0.7654748093E+01
    0.3035390802E-03    0.5726852239E+01    0.7654745664E+01
    0.3191018616E-03    0.5726849553E+01    0.7654742928E+01
    0.3354625639E-03    0.5726846537E+01    0.7654739855E+01
    0.3526620974E-03    0.5726843159E+01    0.7654736414E+01
    0.3707434697E-03    0.5726839382E+01    0.7654732567E+01
    0.3897518939E-03    0.5726835168E+01    0.7654728274E+01
    0.4097349008E-03    0.5726830472E+01    0.7654723491E+01
    0.4307424584E-03    0.5726825247E+01    0.7654718168E+01
    0.4528270965E-03    0.5726819438E+01    0.7654712251E+01
    0.4760440382E-03    0.5726812987E+01    0.7654705680E+01
    0.5004513380E-03    0.5726805828E+01    0.7654698388E+01
    0.5261100268E-03    0.5726797889E+01    0.7654690301E+01
    0.5530842647E-03    0.5726789090E+01    0.7654681337E+01
    0.5814415013E-03    0.5726779342E+01    0.7654671407E+01
    0.6112526445E-03    0.5726768547E+01    0.7654660412E+01
    0.6425922378E-03    0.5726756598E+01    0.7654648240E+01
    0.6755386463E-03    0.5726743376E+01    0.7654634771E+01
    0.7101742534E-03    0.5726728748E+01    0.7654619871E+01
    0.7465856660E-03    0.5726712569E+01    0.7654603391E+01
    0.7848639316E-03    0.5726694680E+01    0.7654585168E+01
    0.8251047659E-03    0.5726674901E+01    0.7654565021E+01
    0.8674087919E-03    0.5726653038E+01    0.7654542750E+01
    0.9118817916E-03    0.5726628875E+01    0.7654518137E+01
    0.9586349708E-03    0.5726602172E+01    0.7654490937E+01
    0.1007785237E-02    0.5726572667E+01    0.7654460882E+01
    0.1059455491E-02    0.5726540069E+01    0.7654427676E+01
    0.1113774935E-02    0.5726504056E+01    0.7654390992E+01
    0.1170879397E-02    0.5726464275E+01    0.7654350470E+01
    0.1230911668E-02    0.5726420336E+01    0.7654305712E+01
    0.1294021859E-02    0.5726371807E+01    0.7654256278E+01
    0.1360367778E-02    0.5726318213E+01    0.7654201685E+01
    0.1430115326E-02    0.5726259029E+01    0.7654141399E+01
    0.1503438906E-02    0.5726193677E+01    0.7654074829E+01
    0.1580521867E-02    0.5726121518E+01    0.7654001326E+01
    0.1661556956E-02    0.5726041850E+01    0.7653920173E+01
    0.1746746803E-02    0.5725953897E+01    0.7653830581E+01
    0.1836304427E-02    0.5725856802E+01    0.7653731677E+01
    0.1930453768E-02    0.5725749623E+01    0.7653622501E+01
    0.2029430249E-02    0.5725631322E+01    0.7653501995E+01
    0.2133481363E-02    0.5725500751E+01    0.7653368991E+01
    0.2242867292E-02    0.5725356650E+01    0.7653222205E+01
    0.2357861557E-02    0.5725197627E+01    0.7653060219E+01
    0.2478751704E-02    0.5725022151E+01    0.7652881473E+01
    0.2605840021E-02    0.5724828534E+01    0.7652684248E+01
    0.2739444296E-02    0.5724614917E+01    0.7652466651E+01
    0.2879898609E-02    0.5724379255E+01    0.7652226597E+01
    0.3027554168E-02    0.5724119295E+01    0.7651961793E+01
    0.3182780189E-02    0.5723832557E+01    0.7651669713E+01
    0.3345964819E-02    0.5723516315E+01    0.7651347578E+01
    0.3517516104E-02    0.5723167565E+01    0.7650992330E+01
    0.3697863011E-02    0.5722783008E+01    0.7650600607E+01
    0.3887456502E-02    0.5722359011E+01    0.7650168710E+01
    0.4086770659E-02    0.5721891585E+01    0.7649692575E+01
    0.4296303871E-02    0.5721376341E+01    0.7649167731E+01
    0.4516580081E-02    0.5720808460E+01    0.7648589269E+01
    0.4748150094E-02    0.5720182647E+01    0.7647951796E+01
    0.4991592955E-02    0.5719493087E+01    0.7647249389E+01
    0.5247517398E-02    0.5718733397E+01    0.7646475545E+01
    0.5516563369E-02    0.5717896571E+01    0.7645623129E+01
    0.5799403621E-02    0.5716974927E+01    0.7644684313E+01
    0.6096745403E-02    0.5715960035E+01    0.7643650515E+01
    0.6409332224E-02    0.5714842661E+01    0.7642512324E+01
    0.6737945714E-02    0.5713612682E+01    0.7641259433E+01
    0.7083407578E-02    0.5712259016E+01    0.7639880549E+01
    0.7446581651E-02    0.5710769526E+01    0.7638363314E+01
    0.7828376056E-02    0.5709130939E+01    0.7636694203E+01
    0.8229745479E-02    0.5707328734E+01    0.7634858430E+01
    0.8651693553E-02    0.5705347044E+01    0.7632839829E+01
    0.9095275367E-02    0.5703168534E+01    0.7630620744E+01
    0.9561600107E-02    0.5700774284E+01    0.7628181902E+01
    0.1005183383E-01    0.5698143647E+01    0.7625502275E+01
    0.1056720237E-01    0.5695254119E+01    0.7622558937E+01
    0.1110899442E-01    0.5692081180E+01    0.7619326914E+01
    0.1167856474E-01    0.5688598139E+01    0.7615779019E+01
    0.1227733756E-01    0.5684775963E+01    0.7611885680E+01
    0.1290681012E-01    0.5680583100E+01    0.7607614757E+01
    0.1356855642E-01    0.5675985288E+01    0.7602931354E+01
    0.1426423119E-01    0.5670945363E+01    0.7597797616E+01
    0.1499557396E-01    0.5665423048E+01    0.7592172519E+01
    0.1576441348E-01    0.5659374744E+01    0.7586011655E+01
