 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5735762788E+01    0.7654760892E+01
    0.1584612949E-03    0.5735762685E+01    0.7654760786E+01
    0.1665857792E-03    0.5735762472E+01    0.7654760570E+01
    0.1751268148E-03    0.5735762144E+01    0.7654760235E+01
    0.1841057586E-03    0.5735761691E+01    0.7654759774E+01
    0.1935450626E-03    0.5735761107E+01    0.7654759179E+01
    0.2034683302E-03    0.5735760381E+01    0.7654758440E+01
    0.2139003746E-03    0.5735759503E+01    0.7654757544E+01
    0.2248672813E-03    0.5735758459E+01    0.7654756481E+01
    0.2363964733E-03    0.5735757236E+01    0.7654755236E+01
    0.2485167797E-03    0.5735755820E+01    0.7654753793E+01
    0.2612585075E-03    0.5735754192E+01    0.7654752135E+01
    0.2746535176E-03    0.5735752334E+01    0.7654750242E+01
    0.2887353046E-03    0.5735750225E+01    0.7654748093E+01
    0.3035390802E-03    0.5735747840E+01    0.7654745664E+01
    0.3191018616E-03    0.5735745154E+01    0.7654742928E+01
    0.3354625639E-03    0.5735742139E+01    0.7654739855E+01
    0.3526620974E-03    0.5735738760E+01    0.7654736414E+01
    0.3707434697E-03    0.5735734984E+01    0.7654732567E+01
    0.3897518939E-03    0.5735730770E+01    0.7654728274E+01
    0.4097349008E-03    0.5735726075E+01    0.7654723491E+01
    0.4307424584E-03    0.5735720850E+01    0.7654718168E+01
    0.4528270965E-03    0.5735715042E+01    0.7654712251E+01
    0.4760440382E-03    0.5735708592E+01    0.7654705680E+01
    0.5004513380E-03    0.5735701434E+01    0.7654698388E+01
    0.5261100268E-03    0.5735693495E+01    0.7654690301E+01
    0.5530842647E-03    0.5735684697E+01    0.7654681337E+01
    0.5814415013E-03    0.5735674949E+01    0.7654671407E+01
    0.6112526445E-03    0.5735664156E+01    0.7654660412E+01
    0.6425922378E-03    0.5735652208E+01    0.7654648240E+01
    0.6755386463E-03    0.5735638987E+01    0.7654634771E+01
    0.7101742534E-03    0.5735624360E+01    0.7654619871E+01
    0.7465856660E-03    0.5735608184E+01    0.7654603391E+01
    0.7848639316E-03    0.5735590296E+01    0.7654585168E+01
    0.8251047659E-03    0.5735570519E+01    0.7654565021E+01
    0.8674087919E-03    0.5735548658E+01    0.7654542750E+01
    0.9118817916E-03    0.5735524497E+01    0.7654518137E+01
    0.9586349708E-03    0.5735497797E+01    0.7654490937E+01
    0.1007785237E-02    0.5735468295E+01    0.7654460882E+01
    0.1059455491E-02    0.5735435700E+01    0.7654427676E+01
    0.1113774935E-02    0.5735399691E+01    0.7654390992E+01
    0.1170879397E-02    0.5735359914E+01    0.7654350470E+01
    0.1230911668E-02    0.5735315979E+01    0.7654305712E+01
    0.1294021859E-02    0.5735267454E+01    0.7654256278E+01
    0.1360367778E-02    0.5735213865E+01    0.7654201685E+01
    0.1430115326E-02    0.5735154687E+01    0.7654141399E+01
    0.1503438906E-02    0.5735089341E+01    0.7654074829E+01
    0.1580521867E-02    0.5735017190E+01    0.7654001326E+01
    0.1661556956E-02    0.5734937529E+01    0.7653920173E+01
    0.1746746803E-02    0.5734849584E+01    0.7653830581E+01
    0.1836304427E-02    0.5734752499E+01    0.7653731677E+01
    0.1930453768E-02    0.5734645331E+01    0.7653622501E+01
    0.2029430249E-02    0.5734527040E+01    0.7653501995E+01
    0.2133481363E-02    0.5734396483E+01    0.7653368991E+01
    0.2242867292E-02    0.5734252395E+01    0.7653222205E+01
    0.2357861557E-02    0.5734093388E+01    0.7653060219E+01
    0.2478751704E-02    0.5733917928E+01    0.7652881473E+01
    0.2605840021E-02    0.5733724330E+01    0.7652684248E+01
    0.2739444296E-02    0.5733510734E+01    0.7652466651E+01
    0.2879898609E-02    0.5733275094E+01    0.7652226597E+01
    0.3027554168E-02    0.5733015159E+01    0.7651961793E+01
    0.3182780189E-02    0.5732728449E+01    0.7651669713E+01
    0.3345964819E-02    0.5732412237E+01    0.7651347578E+01
    0.3517516104E-02    0.5732063522E+01    0.7650992330E+01
    0.3697863011E-02    0.5731679001E+01    0.7650600607E+01
    0.3887456502E-02    0.5731255045E+01    0.7650168710E+01
    0.4086770659E-02    0.5730787664E+01    0.7649692575E+01
    0.4296303871E-02    0.5730272470E+01    0.7649167731E+01
    0.4516580081E-02    0.5729704644E+01    0.7648589269E+01
    0.4748150094E-02    0.5729078891E+01    0.7647951796E+01
    0.4991592955E-02    0.5728389398E+01    0.7647249389E+01
    0.5247517398E-02    0.5727629781E+01    0.7646475545E+01
    0.5516563369E-02    0.5726793036E+01    0.7645623129E+01
    0.5799403621E-02    0.5725871480E+01    0.7644684313E+01
    0.6096745403E-02    0.5724856687E+01    0.7643650515E+01
    0.6409332224E-02    0.5723739421E+01    0.7642512324E+01
    0.6737945714E-02    0.5722509561E+01    0.7641259433E+01
    0.7083407578E-02    0.5721156024E+01    0.7639880549E+01
    0.7446581651E-02    0.5719666679E+01    0.7638363314E+01
    0.7828376056E-02    0.5718028249E+01    0.7636694203E+01
    0.8229745479E-02    0.5716226218E+01    0.7634858430E+01
    0.8651693553E-02    0.5714244719E+01    0.7632839829E+01
    0.9095275367E-02    0.5712066420E+01    0.7630620744E+01
    0.9561600107E-02    0.5709672400E+01    0.7628181902E+01
    0.1005183383E-01    0.5707042017E+01    0.7625502275E+01
    0.1056720237E-01    0.5704152768E+01    0.7622558937E+01
    0.1110899442E-01    0.5700980135E+01    0.7619326914E+01
    0.1167856474E-01    0.5697497430E+01    0.7615779019E+01
    0.1227733756E-01    0.5693675623E+01    0.7611885680E+01
    0.1290681012E-01    0.5689483164E+01    0.7607614757E+01
    0.1356855642E-01    0.5684885795E+01    0.7602931354E+01
    0.1426423119E-01    0.5679846356E+01    0.7597797616E+01
    0.1499557396E-01    0.5674324573E+01    0.7592172519E+01
    0.1576441348E-01    0.5668276853E+01    0.7586011655E+01
    0.1657267224E-01    0.5661656053E+01    0.7579267006E+01
    0.1742237132E-01    0.5654411264E+01    0.7571886710E+01
    0.1831563540E-01    0.5646487568E+01    0.7563814830E+01
    0.1925469810E-01    0.5637825815E+01    0.7554991111E+01
    0.2024190758E-01    0.5628362373E+01    0.7545350741E+01
    0.2127973238E-01    0.5618028911E+01    0.7534824115E+01
    0.2237076759E-01    0.5606752152E+01    0.7523336597E+01
    0.2351774137E-01    0.5594453671E+01    0.7510808300E+01
    0.2472352175E-01    0.5581049666E+01    0.7497153872E+01
    0.2599112382E-01    0.5566450788E+01    0.7482282299E+01
    0.2732371724E-01    0.5550561953E+01    0.7466096740E+01
    0.2872463418E-01    0.5533282223E+01    0.7448494377E+01
    0.3019737766E-01    0.5514504682E+01    0.7429366319E+01
    0.3174563032E-01    0.5494116397E+01    0.7408597533E+01
    0.3337326359E-01    0.5471998394E+01    0.7386066845E+01
    0.3508434741E-01    0.5448025729E+01    0.7361646988E+01
    0.3688316037E-01    0.5422067598E+01    0.7335204737E+01
    0.3877420044E-01    0.5393987568E+01    0.7306601114E+01
    0.4076219620E-01    0.5363643855E+01    0.7275691705E+01
    0.4285211869E-01    0.5330889763E+01    0.7242327065E+01
    0.4504919380E-01    0.5295574185E+01    0.7206353261E+01
    0.4735891536E-01    0.5257542288E+01    0.7167612535E+01
    0.4978705887E-01    0.5216636295E+01    0.7125944116E+01
    0.5233969597E-01    0.5172696461E+01    0.7081185186E+01
    0.5502320956E-01    0.5125562184E+01    0.7033172016E+01
    0.5784430984E-01    0.5075073312E+01    0.6981741274E+01
    0.6081005103E-01    0.5021071632E+01    0.6926731515E+01
    0.6392784901E-01    0.4963402518E+01    0.6867984862E+01
    0.6720549992E-01    0.4901916845E+01    0.6805348874E+01
    0.7065119958E-01    0.4836472967E+01    0.6738678599E+01
    0.7427356405E-01    0.4766939061E+01    0.6667838802E+01
    0.7808165111E-01    0.4693195396E+01    0.6592706365E+01
    0.8208498297E-01    0.4615137092E+01    0.6513172828E+01
    0.8629357004E-01    0.4532676571E+01    0.6429147046E+01
    0.9071793599E-01    0.4445746679E+01    0.6340557938E+01
    0.9536914403E-01    0.4354303159E+01    0.6247357273E+01
    0.1002588246E+00    0.4258328022E+01    0.6149522455E+01
    0.1053992045E+00    0.4157831809E+01    0.6047059233E+01
    0.1108031372E+00    0.4052857062E+01    0.5940004291E+01
    0.1164841356E+00    0.3943480064E+01    0.5828427622E+01
    0.1224564049E+00    0.3829814202E+01    0.5712434629E+01
    0.1287348790E+00    0.3712010817E+01    0.5592167846E+01
    0.1353352574E+00    0.3590262239E+01    0.5467808215E+01
    0.1422740444E+00    0.3464801344E+01    0.5339575826E+01
    0.1495685907E+00    0.3335904011E+01    0.5207730034E+01
    0.1572371363E+00    0.3203886972E+01    0.5072568887E+01
    0.1652988567E+00    0.3069109542E+01    0.4934427804E+01
    0.1737739103E+00    0.2931969401E+01    0.4793677460E+01
    0.1826834892E+00    0.2792903473E+01    0.4650720839E+01
    0.1920498720E+00    0.2652381380E+01    0.4505989473E+01
    0.2018964795E+00    0.2510905584E+01    0.4359938889E+01
    0.2122479333E+00    0.2369002427E+01    0.4213043302E+01
    0.2231301176E+00    0.2227221704E+01    0.4065789680E+01
    0.2345702434E+00    0.2086125405E+01    0.3918671263E+01
    0.2465969169E+00    0.1946287246E+01    0.3772180712E+01
    0.2592402112E+00    0.1808279410E+01    0.3626803060E+01
    0.2725317411E+00    0.1672672551E+01    0.3483008652E+01
    0.2865047422E+00    0.1540021009E+01    0.3341246303E+01
    0.3011941545E+00    0.1410864139E+01    0.3201936884E+01
    0.3166367090E+00    0.1285710542E+01    0.3065467533E+01
    0.3328710202E+00    0.1165041238E+01    0.2932186713E+01
    0.3499376824E+00    0.1049293534E+01    0.2802400252E+01
    0.3678793710E+00    0.9388667486E+00    0.2676368513E+01
    0.3867409497E+00    0.8341061596E+00    0.2554304767E+01
    0.4065695822E+00    0.7353112928E+00    0.2436374788E+01
    0.4274148504E+00    0.6427204277E+00    0.2322697654E+01
    0.4493288784E+00    0.5565215698E+00    0.2213347663E+01
    0.4723664626E+00    0.4768377439E+00    0.2108357228E+01
    0.4965852091E+00    0.4037399419E+00    0.2007720585E+01
    0.5220456772E+00    0.3372336594E+00    0.1911398099E+01
    0.5488115314E+00    0.2772734905E+00    0.1819320967E+01
    0.5769497003E+00    0.2237512110E+00    0.1731396072E+01
    0.6065305440E+00    0.1765110364E+00    0.1647510806E+01
    0.6376280300E+00    0.1353400032E+00    0.1567537671E+01
    0.6703199182E+00    0.9998359721E-01    0.1491338508E+01
    0.7046879553E+00    0.7013883200E-01    0.1418768261E+01
    0.7408180794E+00    0.4546940082E-01    0.1349678201E+01
    0.7788006345E+00    0.2560208523E-01    0.1283918596E+01
    0.8187305969E+00    0.1014116124E-01    0.1221340837E+01
    0.8607078123E+00   -0.1332097828E-02    0.1161799058E+01
    0.9048372455E+00   -0.9246577485E-02    0.1105151316E+01
    0.9512292431E+00   -0.1403899177E-01    0.1051260386E+01
    0.9999998093E+00   -0.1614312202E-01    0.9999942623E+00
    0.1051270896E+01   -0.1598579885E-01    0.9512264161E+00
    0.1105170707E+01   -0.1397888167E-01    0.9048358828E+00
    0.1161834021E+01   -0.1051446003E-01    0.8607072255E+00
    0.1221402525E+01   -0.5959943206E-02    0.8187304152E+00
    0.1284025172E+01   -0.6535913690E-03    0.7788006611E+00
    0.1349858550E+01    0.5097466200E-02    0.7408182109E+00
    0.1419067278E+01    0.1102082070E-01    0.7046881378E+00
    0.1491824413E+01    0.1687821637E-01    0.6703201234E+00
    0.1568311886E+01    0.2246793275E-01    0.6376282431E+00
    0.1648720956E+01    0.2762270125E-01    0.6065307572E+00
    0.1733252687E+01    0.3221066799E-01    0.5769499094E+00
    0.1822118453E+01    0.3613233043E-01    0.5488117341E+00
    0.1915540464E+01    0.3932005627E-01    0.5220458724E+00
    0.2013752323E+01    0.4173517509E-01    0.4965853963E+00
    0.2116999613E+01    0.4336521095E-01    0.4723666417E+00
    0.2225540504E+01    0.4419387896E-01    0.4493290493E+00
    0.2339646406E+01    0.4427666130E-01    0.4274150134E+00
    0.2459602642E+01    0.4368854069E-01    0.4065697374E+00
    0.2585709166E+01    0.4252184414E-01    0.3867410974E+00
    0.2718281310E+01    0.4088321338E-01    0.3678795116E+00
