 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5760086059E+01    0.7654760892E+01
    0.1584612949E-03    0.5760085956E+01    0.7654760786E+01
    0.1665857792E-03    0.5760085743E+01    0.7654760570E+01
    0.1751268148E-03    0.5760085415E+01    0.7654760235E+01
    0.1841057586E-03    0.5760084964E+01    0.7654759774E+01
    0.1935450626E-03    0.5760084380E+01    0.7654759179E+01
    0.2034683302E-03    0.5760083655E+01    0.7654758440E+01
    0.2139003746E-03    0.5760082777E+01    0.7654757544E+01
    0.2248672813E-03    0.5760081735E+01    0.7654756481E+01
    0.2363964733E-03    0.5760080514E+01    0.7654755236E+01
    0.2485167797E-03    0.5760079099E+01    0.7654753793E+01
    0.2612585075E-03    0.5760077473E+01    0.7654752135E+01
    0.2746535176E-03    0.5760075617E+01    0.7654750242E+01
    0.2887353046E-03    0.5760073510E+01    0.7654748093E+01
    0.3035390802E-03    0.5760071129E+01    0.7654745664E+01
    0.3191018616E-03    0.5760068446E+01    0.7654742928E+01
    0.3354625639E-03    0.5760065434E+01    0.7654739855E+01
    0.3526620974E-03    0.5760062059E+01    0.7654736414E+01
    0.3707434697E-03    0.5760058287E+01    0.7654732567E+01
    0.3897518939E-03    0.5760054078E+01    0.7654728274E+01
    0.4097349008E-03    0.5760049389E+01    0.7654723491E+01
    0.4307424584E-03    0.5760044170E+01    0.7654718168E+01
    0.4528270965E-03    0.5760038369E+01    0.7654712251E+01
    0.4760440382E-03    0.5760031926E+01    0.7654705680E+01
    0.5004513380E-03    0.5760024776E+01    0.7654698388E+01
    0.5261100268E-03    0.5760016847E+01    0.7654690301E+01
    0.5530842647E-03    0.5760008059E+01    0.7654681337E+01
    0.5814415013E-03    0.5759998323E+01    0.7654671407E+01
    0.6112526445E-03    0.5759987542E+01    0.7654660412E+01
    0.6425922378E-03    0.5759975608E+01    0.7654648240E+01
    0.6755386463E-03    0.5759962402E+01    0.7654634771E+01
    0.7101742534E-03    0.5759947793E+01    0.7654619871E+01
    0.7465856660E-03    0.5759931635E+01    0.7654603391E+01
    0.7848639316E-03    0.5759913768E+01    0.7654585168E+01
    0.8251047659E-03    0.5759894014E+01    0.7654565021E+01
    0.8674087919E-03    0.5759872179E+01    0.7654542750E+01
    0.9118817916E-03    0.5759848046E+01    0.7654518137E+01
    0.9586349708E-03    0.5759821377E+01    0.7654490937E+01
    0.1007785237E-02    0.5759791909E+01    0.7654460882E+01
